Table,Column,Role,Notes
recipe_ingredients.csv,Design status,Value,
recipe_ingredients.csv,Notes,Value,
energy_water_production_rates.csv,Building,Key + FK -> buildings.csv,
energy_water_production_rates.csv,Resource,Key,Energy or Water
energy_water_production_rates.csv,Income type,Value,Reliable/Conditional; N/A for Water rows
energy_water_production_rates.csv,Rate,Value,
energy_water_production_rates.csv,Design status,Value,
energy_water_production_rates.csv,Notes,Value,
robotics_effort_table.csv,Drone type,Key,
robotics_effort_table.csv,Effort,Value,
robotics_effort_table.csv,Design status,Value,
robotics_effort_table.csv,Notes,Value,
fencing_tiers.csv,Tier,Key,
fencing_tiers.csv,Blocks sizes,Value,
fencing_tiers.csv,Cost,Value,
fencing_tiers.csv,Vulnerable to,Value,
fencing_tiers.csv,Design status,Value,
fencing_tiers.csv,Notes,Value,
habitation_sleep_tiers.csv,Best quarters standing,Key,
habitation_sleep_tiers.csv,Status,Value,
habitation_sleep_tiers.csv,Effort multiplier,Value,
habitation_sleep_tiers.csv,Design status,Value,
habitation_sleep_tiers.csv,Notes,Value,
misc_balancing_values.csv,Mechanic,Key,part of compound key with Value name
misc_balancing_values.csv,Value name,Key,
misc_balancing_values.csv,Value,Value,
misc_balancing_values.csv,Design status,Value,
misc_balancing_values.csv,Notes,Value,
settler_modifiers.csv,Modifier,Key,
settler_modifiers.csv,Effect type,Value,
settler_modifiers.csv,Value,Value,
settler_modifiers.csv,Design status,Value,
settler_modifiers.csv,Notes,Value,
injury_outcome_weights.csv,Roll type,Key,Failure-gated (rolled only on a failed attempt) or Independent risk roll (rolled on every attempt of a guaranteed-success risk-tagged task)
injury_outcome_weights.csv,Risk tier,Key,"Low-risk or High-risk; No-risk has no rows, since no roll happens at all"
injury_outcome_weights.csv,Outcome,Key,
injury_outcome_weights.csv,Weight,Value,weights within one (Roll type; Risk tier) pair sum to 100% — exactly one outcome per roll
injury_outcome_weights.csv,Design status,Value,
injury_outcome_weights.csv,Notes,Value,
exploration_task_injury_weights.csv,Task,Key + Soft reference -> exploration_task_catalog.csv (Task) or sentience_contact_chain.csv (Step),"per-task effective values, seeded from injury_outcome_weights.csv's base values; First Contact's branches are chain steps rather than catalog tasks"
exploration_task_injury_weights.csv,Roll type,Value,which base table row set this task draws from
exploration_task_injury_weights.csv,Outcome,Key,
exploration_task_injury_weights.csv,Weight,Value,"Notes says whether the row is the category base value or a deliberate per-task override"
exploration_task_injury_weights.csv,Design status,Value,
exploration_task_injury_weights.csv,Notes,Value,
hazard_casualty_weights.csv,Hazard,Key,
hazard_casualty_weights.csv,Severity,Key,"Mild/Extreme for scheduled events; N/A for Atmospheric Hazard, a continuous check with no bands"
hazard_casualty_weights.csv,Outcome,Key,
hazard_casualty_weights.csv,Weight,Value,weights within one (Hazard; Severity) pair sum to 100% — exactly one outcome per exposed settler per event
hazard_casualty_weights.csv,Design status,Value,
hazard_casualty_weights.csv,Notes,Value,
data_gathering_targets.csv,Sub-factor,Key + Soft reference -> hazard_priors.csv (Sub-factor),the same five sub-factors the Beta counters track
data_gathering_targets.csv,Axis,Value,Weather or Bio-hazard
data_gathering_targets.csv,Max-needed data units,Value,"the m in Data_norm = min(collected / m, 1); linear progress below it, full marks at or above it"
data_gathering_targets.csv,Design status,Value,
data_gathering_targets.csv,Notes,Value,
scoring_emission_points.csv,Term,Key,"one row per SEED scoring term: what feeds it and when it accrues. Structural, like schema.csv itself — no Design status column, since these are mappings rather than balancing values"
scoring_emission_points.csv,Faction,Value,
scoring_emission_points.csv,When it accrues,Value,
scoring_emission_points.csv,What emits it,Value,
scoring_emission_points.csv,Notes,Value,
aptitude_exploration_effect_table.csv,Level,Key,
aptitude_exploration_effect_table.csv,Effect,Value,
aptitude_exploration_effect_table.csv,Design status,Value,
aptitude_exploration_effect_table.csv,Notes,Value,
exploration_task_catalog.csv,Task,Key,
exploration_task_catalog.csv,Category,Value,
exploration_task_catalog.csv,Rarity,Value,
exploration_task_catalog.csv,Risk,Value,
exploration_task_catalog.csv,Season gate,Value,
exploration_task_catalog.csv,Base Ration cost,Value,
exploration_task_catalog.csv,Planet,Value,'any' or a specific planet type
exploration_task_catalog.csv,Strategy flavor,Value,
exploration_task_catalog.csv,Strategy dimension,Soft reference -> strategy_dimensions.csv (Name),"value can combine two dimension names with 'and' (both together) or 'or' (one or the other, undecided) — not a single exact match"
exploration_task_catalog.csv,Design status,Value,
exploration_task_catalog.csv,Notes,Value,
exploration_task_input_items.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_input_items.csv,Item,Key + FK -> items.csv,
exploration_task_input_items.csv,Requirement,Value,Mandatory/Optional
exploration_task_input_items.csv,Design status,Value,
exploration_task_input_items.csv,Notes,Value,
exploration_task_item_rewards.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_item_rewards.csv,Reward group,Key,"items sharing a group fire together or not at all; mutual exclusivity (if ever needed) is a Condition, not a group split"
exploration_task_item_rewards.csv,Item,Key + FK -> items.csv,
exploration_task_item_rewards.csv,Min,Value,
exploration_task_item_rewards.csv,Max,Value,
exploration_task_item_rewards.csv,Condition,Value,the gate that must be satisfied for the Receipt Probability roll to happen at all
exploration_task_item_rewards.csv,Receipt Probability,Value,chance of receiving the reward once Condition is satisfied
exploration_task_item_rewards.csv,Design status,Value,
exploration_task_item_rewards.csv,Notes,Value,
exploration_task_site_reveals.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_site_reveals.csv,Reveal type,Value,
exploration_task_site_reveals.csv,Guaranteed,Value,
exploration_task_site_reveals.csv,Design status,Value,
exploration_task_site_reveals.csv,Notes,Value,
exploration_task_legend_outcomes.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_legend_outcomes.csv,Flavor,Value,Achievement/Wonder
exploration_task_legend_outcomes.csv,Base success chance,Value,
exploration_task_legend_outcomes.csv,Legend value,Value,"legend_value awarded on success (or on attempt, for guaranteed/Wonder-flavor rows) — see misc_balancing_values.csv's Storied threshold for the other legend_value-related constant"
exploration_task_legend_outcomes.csv,Design status,Value,
exploration_task_legend_outcomes.csv,Notes,Value,
exploration_task_confidence_bursts.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_confidence_bursts.csv,Hazard sub-factor,Soft reference -> hazard_priors.csv (Sub-factor),"granularity mismatch: burst is axis-level (Weather), hazard_priors is sub-factor-level"
exploration_task_confidence_bursts.csv,Design status,Value,
exploration_task_confidence_bursts.csv,Notes,Value,
exploration_task_farmwide_upgrades.csv,Task,Key + FK -> exploration_task_catalog.csv,
exploration_task_farmwide_upgrades.csv,Upgrade effect,Value,
exploration_task_farmwide_upgrades.csv,Design status,Value,
exploration_task_farmwide_upgrades.csv,Notes,Value,
exploration_task_escalations.csv,Trigger task,Key + Soft reference -> exploration_task_catalog.csv (Task),"some trigger descriptions carry a parenthetical qualifier, not an exact Task-name match"
exploration_task_escalations.csv,Unlocks,Soft reference -> exploration_task_catalog.csv (Task) or sentience_contact_chain.csv (Step),"not strictly enforceable — names a task, a chain step, or 'First Contact (direct entry)'"
exploration_task_escalations.csv,Design status,Value,
exploration_task_escalations.csv,Notes,Value,
exploration_task_unknown_radio_signal.csv,Branch,Key,the three resolved-cause outcomes for the Unknown Radio Signal task
exploration_task_unknown_radio_signal.csv,Weight,Value,probability the signal resolves to this Branch
exploration_task_unknown_radio_signal.csv,Sub-branch,Key,"only populated for the 'Genuine distress signal' branch, which further splits on whether an Emergency Medical Kit was brought"
exploration_task_unknown_radio_signal.csv,Outcome,Value,
exploration_task_unknown_radio_signal.csv,Design status,Value,
exploration_task_unknown_radio_signal.csv,Notes,Value,
alien_civilization_classes.csv,Class,Key,
alien_civilization_classes.csv,Ubiquity,Value,which planet type(s) this class is eligible to appear on at all
alien_civilization_classes.csv,Technology Level,Value,
alien_civilization_classes.csv,Openness,Value,
alien_civilization_classes.csv,Economic Stability,Value,
alien_civilization_classes.csv,Unity,Value,how consolidated the civilization is within the one planet where it is found
alien_civilization_classes.csv,Design status,Value,
alien_civilization_classes.csv,Notes,Value,
strategy_dimension_exclusives.csv,Planet,Key,
strategy_dimension_exclusives.csv,Type,Key,Reinforcing/Profile-shifting
strategy_dimension_exclusives.csv,Description,Value,
strategy_dimension_exclusives.csv,Strategy dimension,Soft reference -> strategy_dimensions.csv (Name),"value can combine two dimension names with 'and' (deepens/shifts both together) or 'or' (one or the other, undecided) — not a single exact match"
strategy_dimension_exclusives.csv,Design status,Value,
strategy_dimension_exclusives.csv,Notes,Value,
strategy_dimensions.csv,Name,Key,
strategy_dimensions.csv,Description,Value,
strategy_dimensions.csv,Design status,Value,
strategy_dimensions.csv,Notes,Value,
sentience_contact_chain.csv,Step,Key,
sentience_contact_chain.csv,Trigger,Key,
sentience_contact_chain.csv,Season gate,Value,
sentience_contact_chain.csv,Base cost,Value,
sentience_contact_chain.csv,Item,Soft reference -> items.csv,"item name is embedded in descriptive text (e.g. 'Diplomatic Gear (Mandatory)'), not a clean FK"
sentience_contact_chain.csv,Base Success chance,Value,
sentience_contact_chain.csv,Outcome,Value,
sentience_contact_chain.csv,Legend value,Value,"elevated legend_value, scales inversely with this row's own Success chance (flat where guaranteed) — see exploration_task_legend_outcomes.csv's Legend value column for the other legend_value-bearing table"
sentience_contact_chain.csv,Design status,Value,
sentience_contact_chain.csv,Notes,Value,
hazard_priors.csv,Planet,Key,
hazard_priors.csv,Sub-factor,Key,includes the aggregate TrueRisk(Weather)/TrueRisk(Bio-hazard) rows alongside the five sub-factors
hazard_priors.csv,Value,Value,
hazard_priors.csv,Design status,Value,
hazard_priors.csv,Notes,Value,
data_gathering_sources.csv,Sub-factor,Key + Soft reference -> hazard_priors.csv (Sub-factor),same granularity as hazard_priors' five sub-factor rows
data_gathering_sources.csv,Data source,Value,
data_gathering_sources.csv,Success condition,Value,
data_gathering_sources.csv,Failure condition,Value,
data_gathering_sources.csv,Player text (success),Value,
data_gathering_sources.csv,Player text (failure),Value,
data_gathering_sources.csv,Design status,Value,
data_gathering_sources.csv,Notes,Value,
wild_animal_growth_tiers.csv,Effective site count,Key,
wild_animal_growth_tiers.csv,Target tier,Value,
wild_animal_growth_tiers.csv,Design status,Value,
wild_animal_growth_tiers.csv,Notes,Value,
wild_animal_grazer_effect.csv,Tier,Key,
wild_animal_grazer_effect.csv,Effect on that cycle's harvest,Value,
wild_animal_grazer_effect.csv,Design status,Value,
wild_animal_grazer_effect.csv,Notes,Value,
wild_animal_wall_destruction.csv,Attacker,Key,
wild_animal_wall_destruction.csv,vs. Wood,Value,
wild_animal_wall_destruction.csv,vs. Concrete,Value,
wild_animal_wall_destruction.csv,Design status,Value,
wild_animal_wall_destruction.csv,Notes,Value,
plant_crop_transitions.csv,Building,Key + FK -> buildings.csv,
plant_crop_transitions.csv,Initial State,Key,
plant_crop_transitions.csv,Resulting State,Key,
plant_crop_transitions.csv,Base duration (s),Value,
plant_crop_transitions.csv,Water draw amount,Value,"TBD for the passive/biological-wait transitions that draw Water; N/A for the short worker-active ones, which never draw Water"
plant_crop_transitions.csv,Design status,Value,
plant_crop_transitions.csv,Notes,Value,
