Recipe ID,Item,Role,Quantity,Design status,Notes
robotics_assembly.construction_robot,Iron,Input,TBD,TBD,
robotics_assembly.construction_robot,Copper,Input,TBD,TBD,
robotics_assembly.all_purpose_basic,Iron,Input,TBD,TBD,
robotics_assembly.all_purpose_basic,Copper,Input,TBD,TBD,
robotics_assembly.specialized_basic,Iron,Input,TBD,TBD,
robotics_assembly.specialized_basic,Copper,Input,TBD,TBD,
robotics_assembly.advance_all_purpose,Silicon,Input,TBD,TBD,
robotics_assembly.advance_all_purpose,High-Tech Components,Input,TBD,TBD,
robotics_assembly.advance_specialized,High-Tech Components,Input,TBD,TBD,
robotics_assembly.harden,High-Tech Components,Input,TBD,TBD,
stone_processing.concrete,Stone,Input,TBD,TBD,
stone_processing.concrete,Concrete,Output,TBD,TBD,
stone_processing.silicon,Stone,Input,TBD,TBD,
stone_processing.silicon,Silicon,Output,TBD,TBD,
stone_processing.glass,Stone,Input,TBD,TBD,
stone_processing.glass,Glass,Output,TBD,TBD,
smelter.iron,Iron Ore,Input,TBD,TBD,ratio TBD
smelter.iron,Iron,Output,TBD,TBD,ratio TBD
smelter.copper,Copper Ore,Input,TBD,TBD,ratio TBD
smelter.copper,Copper,Output,TBD,TBD,ratio TBD
textile_workshop.fabric,Wool,Input,TBD,TBD,"player picks Wool, Fiber/Cotton, or Pelts"
textile_workshop.fabric,Fiber/Cotton,Input,TBD,TBD,"player picks Wool, Fiber/Cotton, or Pelts"
textile_workshop.fabric,Pelts,Input,TBD,TBD,"player picks Wool, Fiber/Cotton, or Pelts"
textile_workshop.fabric,Fabric,Output,TBD,TBD,
textile_workshop.leather,Pelts,Input,TBD,TBD,
textile_workshop.leather,Leather,Output,TBD,TBD,
textile_workshop.leather_boots,Leather,Input,TBD,TBD,
textile_workshop.leather_boots,Fiber/Cotton,Input,TBD,TBD,
textile_workshop.leather_boots,Leather Boots,Output,TBD,TBD,
textile_workshop.leather_backpack,Leather,Input,TBD,TBD,
textile_workshop.leather_backpack,Leather Backpack,Output,TBD,TBD,
tinkerers_workshop.htc,Copper,Input,TBD,TBD,
tinkerers_workshop.htc,Silicon,Input,TBD,TBD,
tinkerers_workshop.htc,Iron,Input,TBD,TBD,
tinkerers_workshop.htc,Glass,Input,TBD,TBD,
tinkerers_workshop.htc,High-Tech Components,Output,TBD,TBD,
tinkerers_workshop.screens,Silicon,Input,TBD,TBD,
tinkerers_workshop.screens,Copper,Input,TBD,TBD,
tinkerers_workshop.screens,High-Resolution Screens,Output,TBD,TBD,
tinkerers_workshop.scanning_equipment,Iron,Input,TBD,TBD,
tinkerers_workshop.scanning_equipment,Copper,Input,TBD,TBD,
tinkerers_workshop.scanning_equipment,Portable High-Powered Scanning Equipment,Output,TBD,TBD,
tinkerers_workshop.temp_gear,Fabric,Input,TBD,TBD,player picks Fabric or Leather
tinkerers_workshop.temp_gear,Leather,Input,TBD,TBD,player picks Fabric or Leather
tinkerers_workshop.temp_gear,Rare Metal,Input,TBD,TBD,
tinkerers_workshop.temp_gear,High-Tech Components,Input,TBD,TBD,
tinkerers_workshop.temp_gear,Glass,Input,TBD,TBD,
tinkerers_workshop.temp_gear,Temperature-Resistant Gear,Output,TBD,TBD,"one universal item, covers both hot and cold"
tinkerers_workshop.diplomatic_gear,Silicon,Input,TBD,TBD,path A: Silicon+Copper
tinkerers_workshop.diplomatic_gear,Copper,Input,TBD,TBD,path A: Silicon+Copper
tinkerers_workshop.diplomatic_gear,Fabric,Input,TBD,TBD,path B: Fabric alone
tinkerers_workshop.diplomatic_gear,Diplomatic Gear,Output,TBD,TBD,
tinkerers_workshop.armed_kit,Iron,Input,TBD,TBD,
tinkerers_workshop.armed_kit,Rare Metal,Input,TBD,TBD,
tinkerers_workshop.armed_kit,Armed Expedition Kit,Output,TBD,TBD,
tinkerers_workshop.force_package,High-Tech Components,Input,TBD,TBD,first-pass placeholder recipe
tinkerers_workshop.force_package,Rare Metal,Input,TBD,TBD,first-pass placeholder recipe
tinkerers_workshop.force_package,Overwhelming Force Package,Output,TBD,TBD,
sawmill.lumber,Wood,Input,TBD,TBD,
sawmill.lumber,Lumber,Output,TBD,TBD,
carpenters_shop.fine_furniture,Lumber,Input,TBD,TBD,
carpenters_shop.fine_furniture,Fine Furniture,Output,TBD,TBD,
carpenters_shop.ornamental,Lumber,Input,TBD,TBD,
carpenters_shop.ornamental,Stone,Input,TBD,TBD,or Concrete
carpenters_shop.ornamental,Ornamental/Decorative Items,Output,TBD,TBD,
carpenters_shop.wooden_plow,Lumber,Input,2,Needs Balancing,
carpenters_shop.wooden_plow,Leather,Input,1,Needs Balancing,
carpenters_shop.wooden_plow,Wooden Plow,Output,1,Needs Balancing,"passive stock-check item, not consumed once produced"
carpenters_shop.tiny_trap,Wood,Input,TBD,TBD,
carpenters_shop.tiny_trap,Fabric,Input,TBD,TBD,
carpenters_shop.tiny_trap,Tiny Trap,Output,TBD,TBD,
carpenters_shop.small_trap,Wood,Input,TBD,TBD,
carpenters_shop.small_trap,Fabric,Input,TBD,TBD,
carpenters_shop.small_trap,Small Trap,Output,TBD,TBD,
medical_bay.biological_lab_materials,Grain,Input,TBD,TBD,
medical_bay.biological_lab_materials,Glass,Input,TBD,TBD,
medical_bay.biological_lab_materials,Biological Lab Materials,Output,TBD,TBD,
medical_bay.ppe,Fabric,Input,TBD,TBD,
medical_bay.ppe,Glass,Input,TBD,TBD,
medical_bay.ppe,PPE,Output,TBD,TBD,
medical_bay.emergency_kit,Fabric,Input,TBD,TBD,second input TBD
medical_bay.emergency_kit,Emergency Medical Kit,Output,TBD,TBD,
medical_bay.countermeasure_research,Biological Lab Materials,Input,TBD,TBD,
